Name,degree,appTotal,adminTotal,enrollTotal,percentSAT,percentACT,SAT25,SAT75,ACT25,ACT75,Std Scores,percentAdmit,adYield,tuition,tuitionTransformed,State abbreviation,geo,CoI,histoBlack,DoI,Total  current enrollment,FTEnroll,percentFT,PTEnroll,h,GDEnroll,percentUn,GDRate,freshmenAid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,en,percentSAT2,stdScores2,percentAdmit2,adYield2,percentFT2,percentUN2,GDRate2,freshmenAid2,en2,percentUN*en,stdScore*GDRate,percentFT*freshmenAid,percentSAT*percentAdmit,percentSAT*GDRate,percentSAT*freshmenAid,percentSAT*en,stdScores*adYield,stdScores*percentFT,stdScores*percentUN,PercentAdmit*GDRate,adYield*percentUN,adYield*en,percentFT*GDRate,freshmenAid*en
University of Illinois at Chicago,DRP,14603,10427,3104,6,99,1000,1240,21,26,1990,71,30,13410,4.035163559,Illinois,GL,0,0,C,28038,23239,83,4799,16671,11367,59,30,82,42,4,7841,36,3960100,5041,900,6889,3481,900,6724,61481281,462619,59700,6806,426,180,492,47046,59700,165170,117410,2130,1770,235230,2490,642962
California State Polytechnic University-Pomona,DR,28143,14686,3120,95,27,950,1190,20,26,1900,52,21,6350,3.615807926,California,FW,0,0,S,22501,18995,84,3506,20952,1549,93,10,68,43,3,3819,9025,3610000,2704,441,7056,8649,100,4624,14584761,355167,19000,5712,4940,950,6460,362805,39900,159600,176700,520,1953,80199,840,259692
University of Utah,DRP,11354,9281,3124,19,85,983,1268,21,27,1973,82,34,7457,3.702114256,Utah,RM,0,0,C,32077,23084,72,8993,24492,7585,76,24,64,27,2,21846,361,3892729,6724,1156,5184,5776,576,4096,477247716,1660296,47352,4608,1558,456,1216,415074,67082,142056,149948,1968,2584,742764,1728,1398144
California State University-Fresno,DR,16242,9444,3139,89,39,810,1040,16,22,1600,58,33,6287,3.610519684,California,FW,0,0,C,23060,19511,85,3549,20295,2765,88,14,80,30,1,7161,7921,2560000,3364,1089,7225,7744,196,6400,51279921,630168,22400,6800,5162,1246,7120,637329,52800,136000,140800,812,2904,236313,1190,572880
California State University-Sacramento,DO,19702,13728,3151,92,34,840,1060,17,22,1670,70,23,6628,3.638621788,California,FW,0,0,C,28811,22735,79,6076,26094,2717,91,8,79,38,1,1303,8464,2788900,4900,529,6241,8281,64,6241,1697809,118573,13360,6241,6440,736,7268,119876,38410,131930,151970,560,2093,29969,632,102937
Mississippi State University,DRP,11191,7254,3156,16,84,970,1250,20,28,1920,65,44,6772,3.65011973,Mississippi,SE,0,0,T,20161,16951,84,3210,16399,3762,81,31,93,55,3,20934,256,3686400,4225,1936,7056,6561,961,8649,438232356,1695654,59520,7812,1040,496,1488,334944,84480,161280,155520,2015,3564,921096,2604,1946862
Baylor University,DRP,29249,16809,3190,49,51,1120,1330,24,29,2230,57,19,35972,4.664074571,Texas,SW,1,0,C,15616,15016,96,600,13292,2324,85,57,96,48,18,67958,2401,4972900,3249,361,9216,7225,3249,9216,4618289764,5776430,127110,9216,2793,2793,4704,3329942,42370,214080,189550,3249,1615,1291202,5472,6523968
Kennesaw State University,DR,9471,5355,3194,67,45,990,1170,21,24,1980,57,60,5818,3.569664244,Georgia,SE,0,0,S,24629,17690,72,6939,22621,2008,92,15,90,51,3,1180,4489,3920400,3249,3600,5184,8464,225,8100,1392400,108560,29700,6480,3819,1005,6030,79060,118800,142560,182160,855,5520,70800,1080,106200
Cornell University,DRP,39999,6222,3223,82,39,1320,1520,30,34,2660,16,52,45358,4.825536099,New York,ME,1,0,C,21593,21528,100,65,14393,7200,67,87,64,28,6,193396,6724,7075600,256,2704,10000,4489,7569,4096,37402012816,12957532,231420,6400,1312,7134,5248,15858472,138320,266000,178220,1392,3484,10056592,8700,12377344
Middle Tennessee State University,DR,9845,6888,3276,7,93,900,1150,19,24,1810,70,48,7546,3.708567358,Tennessee,SE,0,0,C,23881,18280,77,5601,21162,2719,89,16,99,57,1,3501,49,3276100,4900,2304,5929,7921,256,9801,12257001,311589,28960,7623,490,112,693,24507,86880,139370,161090,1120,4272,168048,1232,346599
Bowling Green State University-Main Campus,DR,15689,11370,3348,15,92,880,1130,19,24,1790,72,29,10726,3.90502603,Ohio,GL,0,0,T,16958,14764,87,2194,14477,2481,85,31,96,74,8,9758,225,3204100,5184,841,7569,7225,961,9216,95218564,829430,55490,8352,1080,465,1440,146370,51910,155730,152150,2232,2465,282982,2697,936768
Western Kentucky University,DB,8526,7871,3375,7,93,830,1150,18,25,1700,92,43,8722,3.788254032,Kentucky,SE,0,0,C,20448,14315,70,6133,17509,2939,86,25,93,57,3,945,49,2890000,8464,1849,4900,7396,625,8649,893025,81270,42500,6510,644,175,651,6615,73100,119000,146200,2300,3698,40635,1750,87885
San Jose State University,M,25155,15967,3384,94,24,910,1150,19,25,1820,63,21,7343,3.693751796,California,FW,0,0,C,31278,24196,77,7082,25862,5416,83,8,60,40,0,4276,8836,3312400,3969,441,5929,6889,64,3600,18284176,354908,14560,4620,5922,752,5640,401944,38220,140140,151060,504,1743,89796,616,256560
University of New Mexico-Main Campus,DRP,11467,7405,3424,19,90,940,1210,19,25,1850,65,46,6846,3.655947465,New Mexico,SW,0,0,C,28592,20668,72,7924,22416,6176,78,15,98,34,2,15249,361,3422500,4225,2116,5184,6084,225,9604,232532001,1189422,27750,7056,1235,285,1862,289731,85100,133200,144300,975,3588,701454,1080,1494402
University of Toledo,DRP,11066,10040,3428,11,92,910,1170,19,25,1820,91,34,9275,3.822592847,Ohio,GL,0,0,C,20743,16179,78,4564,16153,4590,78,23,96,66,4,2657,121,3312400,8281,1156,6084,6084,529,9216,7059649,207246,41860,7488,1001,253,1056,29227,61880,141960,141960,2093,2652,90338,1794,255072
University of Houston,DRP,17407,10167,3434,89,36,1030,1250,22,27,2060,58,34,8401,3.767459748,Texas,SW,0,0,C,39540,28486,72,11054,31706,7834,80,16,87,36,4,18003,7921,4243600,3364,1156,5184,6400,256,7569,324108009,1440240,32960,6264,5162,1424,7743,1602267,70040,148320,164800,928,2720,612102,1152,1566261
Georgia State University,DRP,13890,7592,3460,86,45,960,1170,20,25,1910,55,46,8368,3.765283772,Georgia,SE,0,0,C,32165,23677,74,8488,24868,7297,77,21,91,57,3,5272,7396,3648100,3025,2116,5476,5929,441,8281,27793984,405944,40110,6734,4730,1806,7826,453392,87860,141340,147070,1155,3542,242512,1554,479752
Clemson University,DR,18500,10706,3463,64,36,1150,1340,26,31,2340,58,32,13054,4.019258034,South Carolina,SE,0,0,S,21303,18963,89,2340,16931,4372,79,59,91,42,5,25762,4096,5475600,3364,1024,7921,6241,3481,8281,663680644,2035198,138060,8099,3712,3776,5824,1648768,74880,208260,184860,3422,2528,824384,5251,2344342
Syracuse University,DRP,28269,13990,3487,81,33,1040,1270,23,28,2110,49,25,40458,4.74523331,New York,ME,1,0,C,21267,19092,90,2175,15097,6170,71,69,74,58,7,49259,6561,4452100,2401,625,8100,5041,4761,5476,2426449081,3497389,145590,6660,3969,5589,5994,3989979,52750,189900,149810,3381,1775,1231475,6210,3645166
Oregon State University,DRP,12414,9799,3516,76,34,970,1230,21,27,1960,79,36,8322,3.762238346,Oregon,FW,0,0,C,27902,21958,79,5944,23157,4745,83,30,86,55,3,19689,5776,3841600,6241,1296,6241,6889,900,7396,387656721,1634187,58800,6794,6004,2280,6536,1496364,70560,154840,162680,2370,2988,708804,2370,1693254
University of Virginia-Main Campus,DRP,28984,8691,3520,89,37,1250,1460,29,33,2550,30,41,12668,4.001588374,Virginia,SE,0,0,C,23464,21086,90,2378,16087,7377,69,86,54,25,2,213079,7921,6502500,900,1681,8100,4761,7396,2916,45402660241,14702451,219300,4860,2670,7654,4806,18964031,104550,229500,175950,2580,2829,8736239,7740,11506266
University of North Carolina at Charlotte,DRP,13742,9416,3541,86,20,980,1160,20,25,1930,69,38,6107,3.59515728,North Carolina,SE,0,0,C,26571,20436,77,6135,21503,5068,81,26,75,59,5,6424,7396,3724900,4761,1444,5929,6561,676,5625,41267776,520344,50180,5775,5934,2236,6450,552464,73340,148610,156330,1794,3078,244112,2002,481800
University of Mississippi,DRP,14258,8464,3582,30,86,980,1190,21,27,1970,59,42,6760,3.649169577,Mississippi,SE,0,0,T,19431,17612,91,1819,16677,2754,86,36,83,45,5,27882,900,3880900,3481,1764,8281,7396,1296,6889,777405924,2397852,70920,7553,1770,1080,2490,836460,82740,179270,169420,2124,3612,1171044,3276,2314206
Georgia Southern University,DR,10525,5473,3604,75,52,1030,1190,21,25,2020,52,66,6071,3.592038529,Georgia,SE,0,0,T,20517,16767,82,3750,17904,2613,87,26,89,63,7,2244,5625,4080400,2704,4356,6724,7569,676,7921,5035536,195228,52520,7298,3900,1950,6675,168300,133320,165640,175740,1352,5742,148104,2132,199716
Ball State University,DRP,17118,10364,3616,58,41,980,1160,20,24,1930,61,35,9160,3.815598547,Indiana,GL,0,0,C,20503,16588,81,3915,16300,4203,80,35,87,66,5,8466,3364,3724900,3721,1225,6561,6400,1225,7569,71673156,677280,67550,7047,3538,2030,5046,491028,67550,156330,154400,2135,2800,296310,2835,736542
California Polytechnic State University-San Luis Obispo,M,36941,11537,3635,88,62,1140,1340,25,30,2290,31,32,8724,3.78838153,California,FW,0,0,S,19703,18775,95,928,18739,964,95,29,50,29,2,10629,7744,5244100,961,1024,9025,9025,841,2500,112975641,1009755,66410,4750,2728,2552,4400,935352,73280,217550,217550,899,3040,340128,2755,531450
Miami University-Oxford,DR,22520,15034,3644,32,85,1120,1330,25,30,2270,67,24,13800,4.052179837,Ohio,GL,0,0,T,17901,16038,90,1863,15462,2439,86,68,77,43,6,32353,1024,5152900,4489,576,8100,7396,4624,5929,1046716609,2782358,154360,6930,2144,2176,2464,1035296,54480,204300,195220,4556,2064,776472,6120,2491181
University of Pittsburgh-Pittsburgh Campus,DRP,24871,13959,3678,89,41,1170,1340,26,30,2360,56,26,17100,4.181742301,Pennsylvania,ME,0,0,C,28649,25069,88,3580,18615,10034,65,64,76,58,13,100631,7921,5569600,3136,676,7744,4225,4096,5776,10126598161,6541015,151040,6688,4984,5696,6764,8956159,61360,207680,153400,3584,1690,2616406,5632,7647956
Auburn University,DRP,15745,13027,3726,17,83,1060,1270,24,30,2170,83,29,9852,3.856607608,Alabama,SE,0,0,C,24864,21093,85,3771,19799,5065,80,38,76,31,3,22092,289,4708900,6889,841,7225,6400,1444,5776,488056464,1767360,82460,6460,1411,646,1292,375564,62930,184450,173600,3154,2320,640668,3230,1678992
University of Connecticut,DRP,27479,14745,3755,91,27,1130,1330,25,30,2280,54,25,12022,3.970961746,Connecticut,NE ,0,0,S,25911,22482,87,3429,18032,7879,70,68,77,48,5,13387,8281,5198400,2916,625,7569,4900,4624,5929,179211769,937090,155040,6699,4914,6188,7007,1218217,57000,198360,159600,3672,1750,334675,5916,1030799
University of Nevada-Las Vegas,DRP,7343,6250,3773,77,34,890,1110,19,24,1800,85,60,6690,3.643598163,Nevada,FW,0,0,C,27848,18795,67,9053,23097,4751,83,15,92,37,2,7827,5929,3240000,7225,3600,4489,6889,225,8464,61261929,649641,27000,6164,6545,1155,7084,602679,108000,120600,149400,1275,4980,469620,1005,720084
Indiana University-Purdue University-Indianapolis,DRP,12230,8510,3796,84,41,890,1120,19,25,1800,70,45,8756,3.790418117,Indiana,GL,0,0,C,30488,21097,69,9391,22409,8079,74,15,85,53,3,26169,7056,3240000,4900,2025,4761,5476,225,7225,684816561,1936506,27000,5865,5880,1260,7140,2198196,81000,124200,133200,1050,3330,1177605,1035,2224365
San Francisco State University,DRP,31462,20070,3807,93,23,880,1110,19,24,1790,64,19,6450,3.62411075,California,FW,0,0,C,29905,24422,82,5483,26156,3749,87,13,70,45,2,1675,8649,3204100,4096,361,6724,7569,169,4900,2805625,145725,23270,5740,5952,1209,6510,155775,34010,146780,155730,832,1653,31825,1066,117250
University of Akron Main Campus,DRP,10575,10204,3812,13,90,920,1200,18,25,1790,96,37,10054,3.868114507,Ohio,GL,0,0,C,24932,18340,74,6592,20477,4455,82,16,90,68,6,8639,169,3204100,9216,1369,5476,6724,256,8100,74632321,708398,28640,6660,1248,208,1170,112307,66230,132460,146780,1536,3034,319643,1184,777510
Utah State University,DRP,9052,8757,3824,8,88,970,1240,20,27,1920,97,44,6030,3.58846734,Utah,RM,0,0,C,27812,16436,59,11376,24385,3427,88,25,81,30,1,11426,64,3686400,9409,1936,3481,7744,625,6561,130553476,1005488,48000,4779,776,200,648,91408,84480,113280,168960,2425,3872,502744,1475,925506
University of California-Santa Cruz,DR,33137,19851,3827,92,43,960,1230,20,26,1910,60,19,13397,4.034589114,California,FW,0,0,C,17203,16755,97,448,15695,1508,91,50,80,62,1,3473,8464,3648100,3600,361,9409,8281,2500,6400,12061729,316043,95500,7760,5520,4600,7360,319516,36290,185270,173810,3000,1729,65987,4850,277840
Oklahoma State University-Main Campus,DRP,11064,8411,3872,27,90,1010,1220,22,28,2040,76,46,7442,3.70102019,Oklahoma,SW,0,0,T,26073,19959,77,6114,20660,5413,79,33,87,41,2,17463,729,4161600,5776,2116,5929,6241,1089,7569,304956369,1379577,67320,6699,2052,891,2349,471501,93840,157080,161160,2508,3634,803298,2541,1519281
Boston University,DRP,44006,20071,3877,84,40,1180,1390,26,30,2370,46,19,44880,4.818037607,Massachusetts,NE ,1,0,C,32411,25797,80,6614,18165,14246,56,80,62,47,10,43924,7056,5616900,2116,361,6400,3136,6400,3844,1929317776,2459744,189600,4960,3864,6720,5208,3689616,45030,189600,132720,3680,1064,834556,6400,2723288
University of South Florida-Main Campus,DRP,28512,12900,3904,56,44,1080,1260,23,28,2150,45,30,6410,3.62080289,Florida,SE,0,0,C,41428,29437,71,11991,31100,10328,75,36,98,44,1,9188,3136,4622500,2025,900,5041,5625,1296,9604,84419344,689100,77400,6958,2520,2016,5488,514528,64500,152650,161250,1620,2250,275640,2556,900424
University of North Carolina at Chapel Hill,DRP,28437,7847,3915,78,24,1200,1410,28,32,2460,28,50,8340,3.763431741,North Carolina,SE,0,0,C,29127,24390,84,4737,18370,10757,63,81,68,31,3,80248,6084,6051600,784,2500,7056,3969,6561,4624,6439741504,5055624,199260,5712,2184,6318,5304,6259344,123000,206640,154980,2268,3150,4012400,6804,5456864
East Carolina University,DRP,15535,9658,4015,85,15,980,1120,21,24,1970,62,42,6143,3.598260385,North Carolina,SE,0,0,C,26887,20971,78,5916,21508,5379,80,31,73,61,8,5852,7225,3880900,3844,1764,6084,6400,961,5329,34245904,468160,61070,5694,5270,2635,6205,497420,82740,153660,157600,1922,3360,245784,2418,427196
University of Oregon,DRP,21263,15770,4031,75,16,990,1220,22,27,2020,74,26,9763,3.851473743,Oregon,FW,0,0,C,24473,21920,90,2553,20797,3676,85,44,68,41,3,24288,5625,4080400,5476,676,8100,7225,1936,4624,589906944,2064480,88880,6120,5550,3300,5100,1821600,52520,181800,171700,3256,2210,631488,3960,1651584
University of California-Riverside,DR,30391,18843,4034,96,40,970,1210,20,25,1920,62,21,12960,4.014996542,California,FW,0,0,C,21207,20653,97,554,18621,2586,88,41,86,56,1,5387,9216,3686400,3844,441,9409,7744,1681,7396,29019769,474056,78720,8342,5952,3936,8256,517152,40320,186240,168960,2542,1848,113127,3977,463282
University of Oklahoma-Norman Campus,DRP,10991,8841,4052,35,86,1030,1280,23,29,2100,80,46,8916,3.800506791,Oklahoma,SW,0,0,S,27292,20627,76,6665,20985,6307,77,35,74,36,6,36571,1225,4410000,6400,2116,5776,5929,1225,5476,1337438041,2815967,73500,5624,2800,1225,2590,1279985,96600,159600,161700,2800,3542,1682266,2660,2706254
Grand Valley State University,DB,18122,14969,4078,3,98,960,1210,21,26,1950,83,27,10716,3.904491401,Michigan,GL,0,0,S,24477,19853,81,4624,21235,3242,87,33,88,65,5,3933,9,3802500,6889,729,6561,7569,1089,7744,15468489,342171,64350,7128,249,99,264,11799,52650,157950,169650,2739,2349,106191,2673,346104
Kent State University at Kent,DRP,15970,13259,4111,26,83,940,1140,20,25,1890,83,31,9816,3.854535773,Ohio,GL,0,0,S,28998,21737,75,7261,22968,6030,79,28,91,70,8,3768,676,3572100,6889,961,5625,6241,784,8281,14197824,297672,52920,6825,2158,728,2366,97968,58590,141750,149310,2324,2449,116808,2100,342888
San Diego State University,DO,51163,15970,4139,92,42,980,1200,21,26,1970,31,26,6766,3.649644833,California,FW,0,0,C,31899,26859,84,5040,27099,4800,85,33,62,35,2,5770,8464,3880900,961,676,7056,7225,1089,3844,33292900,490450,65010,5208,2852,3036,5704,530840,51220,165480,167450,1023,2210,150020,2772,357740
California State University-Northridge,DR,29339,13566,4149,91,25,800,1040,16,22,1590,46,31,6525,3.630266093,California,FW,0,0,C,38310,30423,79,7887,33771,4539,88,13,74,36,1,2387,8281,2528100,2116,961,6241,7744,169,5476,5697769,210056,20670,5846,4186,1183,6734,217217,49290,125610,139920,598,2728,73997,1027,176638
University of California-Berkeley,DRP,61717,11108,4162,91,40,1220,1490,27,33,2440,18,37,12864,4.010617073,California,FW,0,0,C,36198,34675,96,1523,25951,10247,72,72,69,29,1,36917,8281,5953600,324,1369,9216,5184,5184,4761,1362864889,2658024,175680,6624,1638,6552,6279,3359447,90280,234240,175680,1296,2664,1365929,6912,2547273
Washington State University,DRP,14887,12219,4163,88,23,910,1150,19,25,1820,82,34,12327,3.985592255,Washington,FW,0,0,T,27642,23604,85,4038,23070,4572,83,40,79,48,4,29245,7744,3312400,6724,1156,7225,6889,1600,6241,855270025,2427335,72800,6715,7216,3520,6952,2573560,61880,154700,151060,3280,2822,994330,3400,2310355
University of Delaware,DRP,25458,16467,4224,99,27,1060,1280,24,29,2170,65,26,12112,3.975311575,Delaware,ME,0,0,S,22166,19685,89,2481,18487,3679,83,68,82,53,8,55964,9801,4708900,4225,676,7921,6889,4624,6724,3131969296,4645012,147560,7298,6435,6732,8118,5540436,56420,193130,180110,4420,2158,1455064,6052,4589048
Ohio University-Main Campus,DRP,20765,15149,4244,28,89,970,1200,22,26,2000,73,28,10446,3.889892995,Ohio,GL,0,0,T,28786,19449,68,9337,23504,5282,82,48,79,60,9,16736,784,4000000,5329,784,4624,6724,2304,6241,280093696,1372352,96000,5372,2044,1344,2212,468608,56000,136000,164000,3504,2296,468608,3264,1322144
The University of Tennessee-Knoxville,DRP,14396,10435,4276,18,94,1040,1290,24,29,2150,72,41,11194,3.929583337,Tennessee,SE,0,0,C,30030,26283,88,3747,21182,8848,71,37,96,42,3,23336,324,4622500,5184,1681,7744,5041,1369,9216,544568896,1656856,79550,8448,1296,666,1728,420048,88150,189200,152650,2664,2911,956776,3256,2240256
California State University-Long Beach,DO,55019,16956,4276,95,33,900,1140,18,24,1770,31,25,6240,3.606544961,California,FW,0,0,C,35586,28440,80,7146,30593,4993,86,14,71,36,1,1788,9025,3132900,961,625,6400,7396,196,5041,3196944,153768,24780,5680,2945,1330,6745,169860,44250,141600,152220,434,2150,44700,1120,126948
James Madison University,DRP,22648,14394,4325,94,32,1050,1250,23,27,2120,64,30,9176,3.816576138,Virginia,SE,0,0,C,20181,18626,92,1555,18431,1750,91,65,60,42,4,3391,8836,4494400,4096,900,8464,8281,4225,3600,11498881,308581,137800,5520,6016,6110,5640,318754,63600,195040,192920,4160,2730,101730,5980,203460
University of Arkansas,DRP,18908,11076,4339,27,91,1020,1230,23,28,2090,59,39,7818,3.727894556,Arkansas,SE,0,0,C,25341,20379,80,4962,21009,4332,83,37,81,41,3,36209,729,4368100,3481,1521,6400,6889,1369,6561,1311091681,3005347,77330,6480,1593,999,2187,977643,81510,167200,173470,2183,3237,1412151,2960,2932929
Temple University,DRP,18813,12016,4390,92,20,1010,1230,22,27,2040,64,37,14096,4.064822976,Pennsylvania,ME,0,0,C,37270,31436,84,5834,28068,9202,75,39,89,70,14,9745,8464,4161600,4096,1369,7056,5625,1521,7921,94965025,730875,79560,7476,5888,3588,8188,896540,75480,171360,153000,2496,2775,360565,3276,867305
North Carolina State University at Raleigh,DRP,20700,10353,4398,76,19,1140,1310,25,30,2290,50,42,8206,3.754494311,North Carolina,SE,0,0,C,34009,26770,79,7239,24536,9473,72,41,71,45,3,25201,5776,5244100,2500,1764,6241,5184,1681,5041,635090401,1814472,93890,5609,3800,3116,5396,1915276,96180,180910,164880,2050,3024,1058442,3239,1789271
University of Nebraska-Lincoln,DRP,10929,6999,4420,7,93,1010,1330,22,28,2040,64,63,8060,3.744613636,Nebraska,P,0,0,C,24445,20880,85,3565,19376,5069,79,32,87,50,4,8271,49,4161600,4096,3969,7225,6241,1024,7569,68409441,653409,65280,7395,448,224,609,57897,128520,173400,161160,2048,4977,521073,2720,719577
Colorado State University-Fort Collins,DRP,17970,13914,4443,28,92,1020,1250,22,27,2050,77,32,9313,3.824887745,Colorado,RM,0,0,C,31186,23371,75,7815,23548,7638,76,37,73,45,4,10399,784,4202500,5929,1024,5625,5776,1369,5329,108139201,790324,75850,5475,2156,1036,2044,291172,65600,153750,155800,2849,2432,332768,2775,759127
University of Iowa,DRP,21642,17363,4460,10,86,1160,1300,25,28,2310,80,26,8061,3.744681829,Iowa,P,0,0,C,29748,24295,82,5453,21974,7774,74,48,83,49,6,38901,100,5336100,6400,676,6724,5476,2304,6889,1513287801,2878674,110880,6806,800,480,830,389010,60060,189420,170940,3840,1924,1011426,3936,3228783
University of Cincinnati-Main Campus,DRP,16002,11721,4486,89,29,1000,1260,22,28,2030,73,38,10784,3.908118518,Ohio,GL,0,0,C,34379,25873,75,8506,23706,10673,69,25,83,56,5,34212,7921,4120900,5329,1444,5625,4761,625,6889,1170460944,2360628,50750,6225,6497,2225,7387,3044868,77140,152250,140070,1825,2622,1300056,1875,2839596
The University of Texas at San Antonio,DR,15239,11165,4493,80,38,940,1160,20,25,1890,73,40,7457,3.702114256,Texas,SW,0,0,C,28623,21943,77,6680,24342,4281,85,10,84,52,6,3953,6400,3572100,5329,1600,5929,7225,100,7056,15626209,336005,18900,6468,5840,800,6720,316240,75600,145530,160650,730,3400,158120,770,332052
California State University-Fullerton,DO,38909,17817,4526,95,34,920,1130,19,24,1830,46,25,6186,3.601946601,California,FW,0,0,S,38325,29023,76,9302,33116,5209,86,14,66,35,2,1476,9025,3348900,2116,625,5776,7396,196,4356,2178576,126936,25620,5016,4370,1330,6270,140220,45750,139080,157380,644,2150,36900,1064,97416
University of California-San Diego,DRP,60832,22812,4575,93,39,1170,1390,25,31,2320,38,20,13271,4.028996627,California,FW,0,0,C,29517,28606,97,911,23805,5712,81,56,62,40,9,15714,8649,5382400,1444,400,9409,6561,3136,3844,246929796,1272834,129920,6014,3534,5208,5766,1461402,46400,225040,187920,2128,1620,314280,5432,974268
University of North Texas,DRP,18299,10922,4617,80,40,1000,1210,21,26,1990,60,42,8745,3.789718757,Texas,SW,0,0,C,38315,27282,71,11033,31243,7072,82,25,89,53,4,3907,6400,3960100,3600,1764,5041,6724,625,7921,15264649,320374,49750,6319,4800,2000,7120,312560,83580,141290,163180,1500,3444,164094,1775,347723
University of South Carolina-Columbia,DRP,23429,14199,4625,63,61,1100,1290,24,29,2210,61,33,10816,3.909818648,South Carolina,SE,0,0,C,31964,28022,88,3942,24180,7784,76,54,90,46,6,13185,3969,4884100,3721,1089,7744,5776,2916,8100,173844225,1002060,119340,7920,3843,3402,5670,830655,72930,194480,167960,3294,2508,435105,4752,1186650
University of Massachusetts-Amherst,DRP,36012,22665,4672,92,20,1110,1310,24,29,2220,63,21,13443,4.036619636,Massachusetts,NE ,0,0,S,28518,22808,80,5710,22134,6384,78,59,88,60,11,9733,8464,4928400,3969,441,6400,6084,3481,7744,94731289,759174,130980,7040,5796,5428,8096,895436,46620,177600,173160,3717,1638,204393,4720,856504
Liberty University,DRP,48054,10405,4690,55,28,900,1140,19,26,1810,22,45,20768,4.302749343,Virginia,SE,1,0,C,77338,36353,47,40985,47464,29874,61,27,95,66,7,1646,3025,3276100,484,2025,2209,3721,729,9025,2709316,100406,48870,4465,1210,1485,5225,90530,81450,85070,110410,594,2745,74070,1269,156370
University of Kentucky,DRP,19810,13592,4702,18,92,990,1240,22,28,2020,69,35,10110,3.871269602,Kentucky,SE,0,0,C,28435,25658,90,2777,21441,6994,75,34,93,48,7,41004,324,4080400,4761,1225,8100,5625,1156,8649,1681328016,3075300,68680,8370,1242,612,1674,738072,70700,181800,151500,2346,2625,1435140,3060,3813372
University of California-Santa Barbara,DR,55258,24556,4741,93,47,1090,1340,24,29,2200,44,19,13746,4.049848403,California,FW,0,0,S,22225,21771,98,454,19362,2863,87,68,70,46,2,5527,8649,4840000,1936,361,9604,7569,4624,4900,30547729,480849,149600,6860,4092,6324,6510,514011,41800,215600,191400,2992,1653,105013,6664,386890
Northern Arizona University,DRP,33989,31057,4772,64,50,940,1160,20,25,1890,91,15,9738,3.850024464,Arizona,SW,0,0,C,26594,20533,77,6061,22160,4434,83,30,83,58,3,4163,4096,3572100,8281,225,5929,6889,900,6889,17330569,345529,56700,6391,5824,1920,5312,266432,28350,145530,156870,2730,1245,62445,2310,345529
Texas Tech University,DRP,19170,12709,4785,60,40,1010,1210,22,27,2040,66,38,7517,3.706471828,Texas,SW,0,0,C,33111,28287,85,4824,27044,6067,82,33,75,46,9,18131,3600,4161600,4356,1444,7225,6724,1089,5625,328733161,1486742,67320,6375,3960,1980,4500,1087860,77520,173400,167280,2178,3116,688978,2805,1359825
University of Georgia,DRP,18458,10352,4936,86,60,1140,1330,26,30,2330,56,48,10262,3.879758878,Georgia,SE,0,0,C,34536,31364,91,3172,26278,8258,76,57,94,40,3,2069,7396,5428900,3136,2304,8281,5776,3249,8836,4280761,157244,132810,8554,4816,4902,8084,177934,111840,212030,177080,3192,3648,99312,5187,194486
University of California-Irvine,DRP,56515,23956,5077,95,41,990,1270,21,27,1980,42,21,13149,4.023538342,California,FW,0,0,C,28895,28046,97,849,23530,5365,81,68,77,46,7,8945,9025,3920400,1764,441,9409,6561,4624,5929,80013025,724545,134640,7469,3990,6460,7315,849775,41580,192060,160380,2856,1701,187845,6596,688765
West Virginia University,DRP,16521,14060,5135,60,58,930,1140,21,26,1920,85,37,6456,3.624605419,West Virginia,SE,0,0,C,29466,25796,88,3670,22757,6709,77,34,89,55,7,15289,3600,3686400,7225,1369,7744,5929,1156,7921,233753521,1177253,65280,7832,5100,2040,5340,917340,71040,168960,147840,2890,2849,565693,2992,1360721
Texas State University,DRP,18939,14219,5181,72,28,940,1130,21,25,1930,75,36,8060,3.744613636,Texas,SW,0,0,S,35546,28185,79,7361,31005,4541,87,30,75,56,5,4699,5184,3724900,5625,1296,6241,7569,900,5625,22080601,408813,57900,5925,5400,2160,5400,338328,69480,152470,167910,2250,3132,169164,2370,352425
New York University,DRP,57845,15066,5207,78,22,1250,1460,28,32,2510,26,35,44848,4.817533186,New York,ME,1,0,C,44599,35096,79,9503,22615,21984,51,77,55,41,3,66851,6084,6300100,676,1225,6241,2601,5929,3025,4469056201,3409401,193270,4345,2028,6006,4290,5214378,87850,198290,128010,2002,1785,2339785,6083,3676805
University of California-Davis,DRP,49820,22526,5208,93,45,1070,1320,23,29,2140,45,23,13895,4.056262606,California,FW,0,0,S,33307,31986,96,1321,26533,6774,80,51,77,44,2,7855,8649,4579600,2025,529,9216,6400,2601,5929,61701025,628400,109140,7392,4185,4743,7161,730515,49220,205440,171200,2295,1840,180665,4896,604835
Iowa State University,DRP,16539,13648,5366,8,93,990,1300,22,28,2020,83,39,7726,3.721422534,Iowa,P,0,0,C,32955,29398,89,3557,27659,5296,84,38,88,54,8,20907,64,4080400,6889,1521,7921,7056,1444,7744,437102649,1756188,76760,7832,664,304,704,167256,78780,179780,169680,3154,3276,815373,3382,1839816
