Name,degree,appTotal,adminTotal,enrollTotal,percentSAT,percentACT,SAT25,SAT75,ACT25,ACT75,Std Scores,percentAdmit,adYield,tuition,tuitionTransformed,State abbreviation,geo,CoI,histoBlack,DoI,Total  current enrollment,FTEnroll,percentFT,PTEnroll,h,GDEnroll,percentUn,GDRate,freshmenAid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,en,percentSAT2,stdScores2,percentAdmit2,adYield2,percentFT2,percentUN2,GDRate2,freshmenAid2,en2,percentUN*en,stdScore*GDRate,percentFT*freshmenAid,percentSAT*percentAdmit,percentSAT*GDRate,percentSAT*freshmenAid,percentSAT*en,stdScores*adYield,stdScores*percentFT,stdScores*percentUN,PercentAdmit*GDRate,adYield*percentUN,adYield*en,percentFT*GDRate,freshmenAid*en
University of Louisville,DRP,9166,6519,2857,5,94,980,1190,22,28,2010,71,44,9946,3.861987102,Kentucky,SE,0,0,C,21444,16364,76,5080,15954,5490,74,25,97,46,4,41605,25,4040100,5041,1936,5776,5476,625,9409,1730976025,3078770,50250,7372,355,125,485,208025,88440,152760,148740,1775,3256,1830620,1900,4035685
California State University-Los Angeles,DR,27321,18448,2908,95,32,770,990,15,20,1510,68,16,6344,3.615306217,California,FW,0,0,C,23258,18104,78,5154,19589,3669,84,7,82,32,1,989,9025,2280100,4624,256,6084,7056,49,6724,978121,83076,10570,6396,6460,665,7790,93955,24160,117780,126840,476,1344,15824,546,81098
Montana State University,DR,12581,10630,2914,38,71,1010,1260,21,27,2000,84,27,6752,3.648535342,Montana,RM,0,0,T,14852,11549,78,3303,13174,1678,89,20,87,47,3,8171,1444,4000000,7056,729,6084,7921,400,7569,66765241,727219,40000,6786,3192,760,3306,310498,54000,156000,178000,1680,2403,220617,1560,710877
University of Southern California,DRP,47358,9395,2922,79,41,1280,1480,29,33,2580,20,31,46298,4.840087514,California,FW,1,0,C,41368,35895,87,5473,18445,22923,45,78,67,34,2,107715,6241,6656400,400,961,7569,2025,6084,4489,11602521225,4847175,201240,5829,1580,6162,5293,8509485,79980,224460,116100,1560,1395,3339165,6786,7216905
Old Dominion University,DRP,10201,7833,2943,81,25,930,1130,18,23,1800,77,38,8550,3.777194721,Virginia,SE,0,0,C,24828,16957,68,7871,19819,5009,80,23,82,64,7,8279,6561,3240000,5929,1444,4624,6400,529,6724,68541841,662320,41400,5576,6237,1863,6642,670599,68400,122400,144000,1771,3040,314602,1564,678878
Central Michigan University,DRP,19262,12143,2963,2,99,868,1113,20,24,1818,63,24,11220,3.930921775,Michigan,GL,0,0,T,26841,19653,73,7188,20534,6307,77,21,92,81,6,4019,4,3305124,3969,576,5329,5929,441,8464,16152361,309463,38178,6716,126,42,184,8038,43632,132714,139986,1323,1848,96456,1533,369748
Florida International University,DRP,16549,7122,2990,70,30,1070,1230,24,27,2180,43,42,6496,3.627893221,Florida,SE,0,0,S,47663,31932,67,15731,39142,8521,82,20,91,45,1,5533,4900,4752400,1849,1764,4489,6724,400,8281,30614089,453706,43600,6097,3010,1400,6370,387310,91560,146060,178760,860,3444,232386,1340,503503
University of Rhode Island,DRP,19824,15603,2993,92,17,970,1170,22,26,2000,79,19,12450,3.991405155,Rhode Island,NE ,0,0,S,16387,13662,83,2725,13354,3033,81,41,91,80,5,8281,8464,4000000,6241,361,6889,6561,1681,8281,68574961,670761,82000,7553,7268,3772,8372,761852,38000,166000,162000,3239,1539,157339,3403,753571
University of Nevada-Reno,DRP,7857,6597,2994,82,56,960,1190,21,26,1950,84,45,6610,3.637169596,Nevada,FW,0,0,C,18776,14208,76,4568,15694,3082,84,16,94,42,5,14224,6724,3802500,7056,2025,5776,7056,256,8836,202322176,1194816,31200,7144,6888,1312,7708,1166368,87750,148200,163800,1344,3780,640080,1216,1337056
George Mason University,DRP,20805,12905,3011,75,13,1050,1250,24,28,2160,62,23,9908,3.859817658,Virginia,SE,0,0,S,33917,21421,63,12496,21990,11927,65,43,66,49,5,2229,5625,4665600,3844,529,3969,4225,1849,4356,4968441,144885,92880,4158,4650,3225,4950,167175,49680,136080,140400,2666,1495,51267,2709,147114
Appalachian State University,DR,12248,7744,3028,88,19,1060,1240,24,28,2170,63,39,6462,3.625099695,North Carolina,SE,0,0,T,17838,16021,90,1817,16025,1813,90,42,67,44,2,4526,7744,4708900,3969,1521,8100,8100,1764,4489,20484676,407340,91140,6030,5544,3696,5896,398288,84630,195300,195300,2646,3510,176514,3780,303242
The University of Texas at El Paso,DRP,6240,6228,3033,62,30,810,1030,17,22,1640,100,49,7255,3.687220467,Texas,SW,0,0,C,23003,14241,62,8762,19696,3307,86,12,86,40,3,10862,3844,2689600,10000,2401,3844,7396,144,7396,117983044,934132,19680,5332,6200,744,5332,673444,80360,101680,141040,1200,4214,532238,744,934132
Drexel University,DRP,43945,35815,3040,87,23,1070,1310,24,30,2180,81,8,37505,4.692734405,Pennsylvania,ME,1,0,C,26132,18909,72,7223,16616,9516,64,28,94,53,14,23977,7569,4752400,6561,64,5184,4096,784,8836,574896529,1534528,61040,6768,7047,2436,8178,2085999,17440,156960,139520,2268,512,191816,2016,2253838
Georgia Institute of Technology-Main Campus,DR,14645,8045,3044,88,53,1260,1460,28,32,2520,55,38,10650,3.900952136,Georgia,SE,0,0,C,21471,18743,87,2728,14558,6913,68,41,72,30,6,77288,7744,6350400,3025,1444,7569,4624,1681,5184,5973434944,5255584,103320,6264,4840,3608,6336,6801344,95760,219240,171360,2255,2584,2936944,3567,5564736
The University of Texas-Pan American,DR,9313,5790,3102,47,84,850,1050,18,21,1720,62,54,5173,3.508621697,Texas,SW,0,0,C,20053,14138,71,5915,17230,2823,86,16,90,26,2,0,2209,2958400,3844,2916,5041,7396,256,8100,0,0,27520,6390,2914,752,4230,0,92880,122120,147920,992,4644,0,1136,0
